accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
AY585229	AY585229.1	GenBank		AY585229	Europe	Paris FR	XXXX-XX-XX	2004-08-04	2004-08-04	30744			oronasopharynx		St-Jean,J.R.,Jacomy,H.,Desforges,M.,Vabret,A.,Freymuth,F.,Talbot,P.J.	INRS-Institut Armand-Frappier	Canada	France	Ile de France	St-Jean et al.
AY878321	AY878321.1	GenBank		AY878321			XXXX-XX-XX	2005-02-05	2016-07-26	539					Sampath,R.,Hofstadler,S.A.,Blyn,L.B.,Eshoo,M.W.,Hall,T.A.,Massire,C.,Levene,H.M.,Hannis,J.C.,Harrell,P.M.,Neuman,B.,Buchmeier,M.J.,Jiang,Y.,Ranken,R.,Drader,J.J.,Samant,V.,Griffey,R.H.,McNeil,J.A.,Crooke,S.T.,Ecker,D.J.	Ibis Therapeutics	USA			Sampath et al.
AY903454	AY903454.1	GenBank		AY903454	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4092					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.
AY903455	AY903455.1	GenBank		AY903455	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4086					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.
AY903456	AY903456.1	GenBank		AY903456	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4092					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.
AY903457	AY903457.1	GenBank		AY903457	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4092					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.
AY903458	AY903458.1	GenBank		AY903458	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	4086					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.
AY903459	AY903459.1	GenBank		87309	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	30723					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, University of Leuven, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.
AY903460	AY903460.1	GenBank		AY903460	Europe		XXXX-XX-XX	2005-05-26	2005-05-26	30723					Vijgen,L.,Keyaerts,E.,Lemey,P.,Moes,E.,Li,S.,Vandamme,A.M.,Van Ranst,M.	Rega Institute for Medical Research, University of Leuven, Laboratory of Clinical and Epidemiological Virology, Department of Microbiology and Immunology	Belgium	Belgium		Vijgen et al.
CQ772291	CQ772291.1	GenBank		CQ772291			XXXX-XX-XX	2004-03-04	2004-03-04	250					Brownlie,J.,Chalker,V.J.,Erles,K.					Brownlie et al.
CQ772300	CQ772300.1	GenBank		CQ772300			XXXX-XX-XX	2004-03-04	2004-03-04	4060					Brownlie,J.,Chalker,V.J.,Erles,K.					Brownlie et al.
CQ772309	CQ772309.1	GenBank		CQ772309			XXXX-XX-XX	2004-03-04	2004-03-04	497					Brownlie,J.,Chalker,V.J.,Erles,K.					Brownlie et al.
CS050812	CS050812.1	GenBank		CS050812			XXXX-XX-XX	2005-03-23	2005-03-23	3522					Kostrikis,L.G.					Kostrikis et al.
CS050831	CS050831.1	GenBank		CS050831			XXXX-XX-XX	2005-03-23	2005-03-23	234					Kostrikis,L.G.					Kostrikis et al.
CS050853	CS050853.1	GenBank		CS050853			XXXX-XX-XX	2005-03-23	2005-03-23	678					Kostrikis,L.G.					Kostrikis et al.
CS050880	CS050880.1	GenBank		CS050880			XXXX-XX-XX	2005-03-23	2005-03-23	1111					Kostrikis,L.G.					Kostrikis et al.
DD266150	DD266150.1	GenBank		DD266150			XXXX-XX-XX	2006-06-16	2006-06-16	250					Chalker,V.J.,Eruresu,K.,Brownlee,J.					Chalker et al.
DD266155	DD266155.1	GenBank		DD266155			XXXX-XX-XX	2006-06-16	2006-06-16	4060					Chalker,V.J.,Eruresu,K.,Brownlee,J.					Chalker et al.
DD266159	DD266159.1	GenBank		DD266159			XXXX-XX-XX	2006-06-16	2006-06-16	497					Chalker,V.J.,Eruresu,K.,Brownlee,J.					Chalker et al.
DJ011585	DJ011585.1	GenBank		DJ011585			XXXX-XX-XX	2007-10-04	2007-10-04	3522					Kosutorikisu,R.G.					Kosutorikisu et al.
DJ011604	DJ011604.1	GenBank		DJ011604			XXXX-XX-XX	2007-10-04	2007-10-04	234					Kosutorikisu,R.G.					Kosutorikisu et al.
DJ011626	DJ011626.1	GenBank		DJ011626			XXXX-XX-XX	2007-10-04	2007-10-04	678					Kosutorikisu,R.G.					Kosutorikisu et al.
DJ011653	DJ011653.1	GenBank		DJ011653			XXXX-XX-XX	2007-10-04	2007-10-04	1111					Kosutorikisu,R.G.					Kosutorikisu et al.
DL143786	DL143786.1	GenBank		DL143786			XXXX-XX-XX	2008-09-26	2008-09-26	358					Walter,E.,Tibbetts,C.,Thornton,J.,Stenger,D.,Seto,D.,Kuruzerokku,R.P.,Rowley,R.,Lin,B.,Hanson,E.H.,Agan,B.,Vora,G.,Thach,D.,Wang,Z.					Walter et al.
DQ355401	DQ355401.1	GenBank		DQ355401	Europe		XXXX-XX-XX	2006-08-01	2016-07-26	2626					Vabret,A.,Dina,J.,Mourez,T.,Gouarin,S.,Petitjean,J.,van der Werf,S.,Freymuth,F.	University Hospital of Caen, Laboratory of Virology	France	France	Normandie	Vabret et al.
