accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
KR055579	KR055579.1	GenBank		12MYKL0236	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055580	KR055580.1	GenBank		12MYKL0413	Asia		2012-XX-XX	2016-03-05	2016-03-05	1138	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055581	KR055581.1	GenBank		12MYKL0464	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055582	KR055582.1	GenBank		12MYKL0523	Asia		2012-XX-XX	2016-03-05	2016-03-05	1138	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055583	KR055583.1	GenBank		12MYKL0710	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055584	KR055584.1	GenBank		12MYKL0732	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055585	KR055585.1	GenBank		12MYKL0760	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055586	KR055586.1	GenBank		12MYKL0774	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055587	KR055587.1	GenBank		12MYKL0781	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055588	KR055588.1	GenBank		12MYKL0868	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055589	KR055589.1	GenBank		12MYKL0945	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055590	KR055590.1	GenBank		12MYKL1024	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055591	KR055591.1	GenBank		12MYKL1057	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055592	KR055592.1	GenBank		12MYKL1130	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055593	KR055593.1	GenBank		12MYKL1140	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055594	KR055594.1	GenBank		12MYKL1381	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055595	KR055595.1	GenBank		12MYKL1484	Asia		2012-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055596	KR055596.1	GenBank		12MYKL1612	Asia		2012-XX-XX	2016-03-05	2016-03-05	993	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055597	KR055597.1	GenBank		13MYKL1758	Asia		2013-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055598	KR055598.1	GenBank		13MYKL1975	Asia		2013-XX-XX	2016-03-05	2016-03-05	1161	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055599	KR055599.1	GenBank		12MYKL0002	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055600	KR055600.1	GenBank		12MYKL0043	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055601	KR055601.1	GenBank		12MYKL0208	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055602	KR055602.1	GenBank		12MYKL0236	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055603	KR055603.1	GenBank		12MYKL0413	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055604	KR055604.1	GenBank		12MYKL0464	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055605	KR055605.1	GenBank		12MYKL0523	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055606	KR055606.1	GenBank		12MYKL0710	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055607	KR055607.1	GenBank		12MYKL0774	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055608	KR055608.1	GenBank		12MYKL0732	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055609	KR055609.1	GenBank		12MYKL0760	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055610	KR055610.1	GenBank		12MYKL0781	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055611	KR055611.1	GenBank		12MYKL0868	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055612	KR055612.1	GenBank		12MYKL0945	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055613	KR055613.1	GenBank		12MYKL1024	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055614	KR055614.1	GenBank		12MYKL1130	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055615	KR055615.1	GenBank		12MYKL1057	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055616	KR055616.1	GenBank		12MYKL1140	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055617	KR055617.1	GenBank		12MYKL1381	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055618	KR055618.1	GenBank		12MYKL1484	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055619	KR055619.1	GenBank		12MYKL1612	Asia		2012-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055620	KR055620.1	GenBank		13MYKL1758	Asia		2013-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055621	KR055621.1	GenBank		13MYKL1975	Asia		2013-XX-XX	2016-03-05	2016-03-05	1344	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055622	KR055622.1	GenBank		12MYKL0002	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055623	KR055623.1	GenBank		12MYKL0043	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055624	KR055624.1	GenBank		12MYKL0208	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055625	KR055625.1	GenBank		12MYKL0236	Asia		2012-XX-XX	2016-03-05	2016-03-05	819	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055626	KR055626.1	GenBank		12MYKL0413	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055627	KR055627.1	GenBank		12MYKL0464	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055628	KR055628.1	GenBank		12MYKL0523	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055629	KR055629.1	GenBank		12MYKL0710	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055630	KR055630.1	GenBank		12MYKL0732	Asia		2012-XX-XX	2016-03-05	2016-03-05	819	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055631	KR055631.1	GenBank		12MYKL0760	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055632	KR055632.1	GenBank		12MYKL0774	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055633	KR055633.1	GenBank		12MYKL0781	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055634	KR055634.1	GenBank		12MYKL0868	Asia		2012-XX-XX	2016-03-05	2016-03-05	819	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055635	KR055635.1	GenBank		12MYKL0945	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055636	KR055636.1	GenBank		12MYKL1024	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055637	KR055637.1	GenBank		12MYKL1057	Asia		2012-XX-XX	2016-03-05	2016-03-05	819	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055638	KR055638.1	GenBank		12MYKL1130	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055639	KR055639.1	GenBank		12MYKL1140	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055640	KR055640.1	GenBank		12MYKL1381	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055641	KR055641.1	GenBank		12MYKL1484	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055642	KR055642.1	GenBank		12MYKL1612	Asia		2012-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055643	KR055643.1	GenBank		13MYKL1758	Asia		2013-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR055644	KR055644.1	GenBank		13MYKL1975	Asia		2013-XX-XX	2016-03-05	2016-03-05	848	Homo sapiens				Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine	Malaysia	Malaysia		Al-Khannaq et al.
KR607985	KR607985.1	GenBank		KR607985	Asia		2009-XX-XX	2015-10-24	2015-10-24	681	Homo sapiens		oronasopharynx		Wang,Y.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC	China	China		Wang et al.
KR607986	KR607986.1	GenBank		KR607986	Asia		2009-XX-XX	2015-10-24	2015-10-24	681	Homo sapiens		oronasopharynx		Wang,Y.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC	China	China		Wang et al.
KR607987	KR607987.1	GenBank		KR607987	Asia		2009-XX-XX	2015-10-24	2015-10-24	681	Homo sapiens		oronasopharynx		Wang,Y.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC	China	China		Wang et al.
KR607988	KR607988.1	GenBank		KR607988	Asia		2009-XX-XX	2015-10-24	2015-10-24	681	Homo sapiens		oronasopharynx		Wang,Y.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC	China	China		Wang et al.
KR607989	KR607989.1	GenBank		KR607989	Asia		2009-XX-XX	2015-10-24	2015-10-24	681	Homo sapiens		oronasopharynx		Wang,Y.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC	China	China		Wang et al.
KU131570	KU131570.1	GenBank		KU131570	Europe		2011-08-20	2016-02-27	2016-02-27	30746	Homo sapiens		brain		Morfopoulou,S.,Brown,J.R.,Davies,G.E.,Anderson,G.,Virasami,A.,Qasim,W.,Hubank,M.,Plagnol,V.,Desforges,M.,Jacques,T.S.,Talbot,P.J.,Breuer,J.	University College London, Division of Infection and Immunity	United Kingdom	United Kingdom		Morfopoulou et al.
KU745533	KU745533.1	GenBank		13963/2014	Asia		2014-04-XX	2019-02-28	2019-02-28	4077	Homo sapiens		oronasopharynx		Jia,B.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences & Peking Union Medical College, Institute of Pathogen Biology		China	Beijing	Jia et al.
